"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.99213219353032,3.60214900553211
2.5,90,-179.9,-1.73881831743754,3.73116937224934
2.5,90,-179.8,-1.47730595957276,3.84243152121813
2.5,90,-179.7,-1.20883306572544,3.93542895042969
2.5,90,-179.6,-0.934667417927822,4.00974065390386
2.5,90,-179.5,-0.656100820279621,4.06503272710437
2.5,90,-179.4,-0.374443215790696,4.10105958787155
2.5,90,-179.3,-0.0910167583527482,4.11766481207354
2.5,90,-179.2,0.192850136381777,4.11478158452277
2.5,90,-179.1,0.475828737822381,4.09243276698836
2.5,90,-179,0.756595922007306,4.05073058635871
2.5,90,-178.9,1.03384004542386,3.98987594717316
2.5,90,-178.8,1.30626674909453,3.91015737385108
2.5,90,-178.7,1.57260467146418,3.81194958900413
2.5,90,-178.6,1.83161104916861,3.69571173522749
2.5,90,-178.5,2.08207718532533,3.56198524873301
2.5,90,-178.4,2.32283376555848,3.41139139411758
2.5,90,-178.3,2.55275600255582,3.24462847045625
2.5,90,-178.2,2.77076859054647,3.06246869978128
2.5,90,-178.1,2.97585045169329,2.86575480985553
2.5,90,-178,3.16703925700827,2.65539632397928
2.5,90,-177.9,3.34343570502629,2.43236557138908
2.5,90,-177.8,3.50420754211834,2.19769343261422
2.5,90,-177.7,3.64859330898877,1.95246483496051
2.5,90,-177.6,3.77590579859025,1.69781401408966
2.5,90,-177.5,3.88553521140855,1.43491955845887
2.5,90,-177.4,3.97695199482188,1.16499925417977
2.5,90,-177.3,4.04970935403213,0.889304748649907
2.5,90,-177.2,4.103445422906,0.609116052093894
2.5,90,-177.1,4.1378850839531,0.325735896937064
2.5,90,-177,4.15284142761768,0.0404839756989438
2.5,90,-176.9,4.14821684206946,-0.24530892114473
2.5,90,-176.8,4.12400372575763,-0.53030684515712
2.5,90,-176.7,4.08028481613943,-0.813174684909371
2.5,90,-176.6,4.01723312921752,-1.09258419237257
2.5,90,-176.5,3.93511150581873,-1.36722001656296
2.5,90,-176.4,3.83427176192379,-1.63578571969477
2.5,90,-176.3,3.71515344181142,-1.89700975059691
2.5,90,-176.2,3.57828217431166,-2.1496513497139
2.5,90,-176.1,3.42426763406792,-2.39250635966942
2.5,90,-176,3.25380111138312,-2.62441291511787
2.5,90,-175.9,3.06765269596709,-2.84425698546432
2.5,90,-175.8,2.86666808170062,-3.0509777440069
2.5,90,-175.7,2.65176500138323,-3.24357273715125
2.5,90,-175.6,2.42392930232322,-3.42110282758012
2.5,90,-175.5,2.18421067555044,-3.58269688563883
2.5,90,-175.4,1.93371805337515,-3.72755620372379
2.5,90,-175.3,1.673614691962,-3.85495860914963
2.5,90,-175.2,1.40511295752778,-3.96426225181837
2.5,90,-175.1,1.12946883668744,-4.05490904403142
2.5,90,-175,0.847976193347756,-4.1264277309713
2.5,90,-174.9,0.561960796371388,-4.17843657173539
2.5,90,-174.8,0.272774143980254,-4.21064561233055
2.5,90,-174.7,-0.0182128874720984,-4.22285853372832
2.5,90,-174.6,-0.30961654117671,-4.21497405993499
2.5,90,-174.5,-0.600046793383421,-4.18698691303961
2.5,90,-174.4,-0.888114050850395,-4.13898830436
2.5,90,-174.3,-1.17243589919503,-4.07116595310019
2.5,90,-174.2,-1.45164386814838,-3.98380362635208
2.5,90,-174.1,-1.72439017893786,-3.87728019680483
2.5,90,-174,-1.98935443844561,-3.75206821715232
2.5,90,-173.9,-2.24525024441817,-3.60873201289707
2.5,90,-173.8,-2.49083166585838,-3.44792529801637
2.5,90,-173.7,-2.72489956280704,-3.27038832076884
2.5,90,-173.6,-2.94630771003926,-3.07694454975195
2.5,90,-173.5,-3.15396868975629,-2.86849691315448
2.5,90,-173.4,-3.34685951914957,-2.64602360696176
2.5,90,-173.3,-3.52402697975741,-2.41057349063918
2.5,90,-173.2,-3.68459261681536,-2.16326109152313
2.5,90,-173.1,-3.82775737832191,-1.90526124176288
2.5,90,-173,-3.95280586529185,-1.63780337415914
2.5,90,-172.9,-4.0591101666432,-1.36216550561538
2.5,90,-172.8,-4.14613325434784,-1.07966793913582
2.5,90,-172.7,-4.21343191686237,-0.791666717341697
2.5,90,-172.6,-4.26065921142222,-0.499546862330162
2.5,90,-172.5,-4.28756641851994,-0.204715438331725
2.5,90,-172.4,-4.29400448477178,0.0914055249613662
2.5,90,-172.3,-4.27992494339223,0.387386209362815
2.5,90,-172.2,-4.24538030461544,0.681796245503894
2.5,90,-172.1,-4.19052391160839,0.973211969890016
2.5,90,-172,-4.11560926068518,1.26022366072694
2.5,90,-171.9,-4.02098878793302,1.54144271144159
2.5,90,-171.8,-3.90711212767075,1.81550870100917
2.5,90,-171.7,-3.77452385145683,2.08109632066232
2.5,90,-171.6,-3.62386069961669,2.33692211731063
2.5,90,-171.5,-3.45584832044688,2.58175101502253
2.5,90,-171.4,-3.2712975353491,2.81440257721965
2.5,90,-171.3,-3.07110015112441,3.03375697379596
2.5,90,-171.2,-2.85622434349666,3.23876061918385
2.5,90,-171.1,-2.62770963860985,3.42843144943965
2.5,90,-171,-2.38666152173462,3.60186380869354
2.5,90,-170.9,-2.13424570470884,3.75823291778467
2.5,90,-170.8,-1.87168208570227,3.89679890056653
2.5,90,-170.7,-1.60023843672647,4.01691034619398
2.5,90,-170.6,-1.32122385588962,4.1180073886737
2.5,90,-170.5,-1.03598202271108,4.19962428804925
2.5,90,-170.4,-0.745884295857735,4.261391500774
2.5,90,-170.3,-0.452322693427492,4.30303723007925
2.5,90,-170.2,-0.156702796389996,4.32438845043988
2.5,90,-170.1,0.139563384007383,4.32537140355417
2.5,90,-170,0.435064534147721,4.30601156655964
2.5,90,-169.9,0.72839712091118,4.26643309647779
2.5,90,-169.8,1.01817238979006,4.20685775809352
2.5,90,-169.7,1.30302323945169,4.12760334560309
2.5,90,-169.6,1.58161093511755,4.02908161138655
2.5,90,-169.5,1.85263162454251,3.91179571815301
2.5,90,-169.4,2.11482262202078,3.77633723344999
2.5,90,-169.3,2.36696842771001,3.62338268810095
2.5,90,-169.2,2.6079064516189,3.45368972252245
2.5,90,-169.1,2.83653241384312,3.26809284705652
2.5,90,-169,3.05180539502753,3.06749884442188
2.5,90,-168.9,3.25275251356222,2.85288184413027
2.5,90,-168.8,3.43847320866564,2.62527810021764
2.5,90,-168.7,3.60814311124226,2.38578050490217
2.5,90,-168.6,3.7610174872058,2.13553287179434
2.5,90,-168.5,3.89643424080634,1.87572402304629
2.5,90,-168.4,4.0138164683677,1.60758171534123
2.5,90,-168.3,4.11267455570872,1.33236643988621
2.5,90,-168.2,4.1926078153641,1.05136513159146
2.5,90,-168.1,4.25330566251732,0.765884822402362
2.5,90,-168,4.29454833128901,0.477246273298663
2.5,90,-167.9,4.31620713566762,0.186777618815096
2.5,90,-167.8,4.31824428191144,-0.104191942944375
2.5,90,-167.7,4.30071224167014,-0.394338382889704
2.5,90,-167.6,4.26375269735908,-0.682348965466309
2.5,90,-167.5,4.20759507345539,-0.966928235867857
2.5,90,-167.4,4.1325546693599,-1.24680384224881
2.5,90,-167.3,4.03903041127463,-1.52073216693482
2.5,90,-167.2,3.927502242173,-1.78750374242326
2.5,90,-167.1,3.79852817038351,-2.045948429859
2.5,90,-167,3.65274099856437,-2.29494033963133
2.5,90,-166.9,3.49084475591439,-2.53340247575472
2.5,90,-166.8,3.3136108573421,-2.76031108775253
2.5,90,-166.7,3.12187401400594,-2.97469971583281
2.5,90,-166.6,2.91652792014444,-3.17566291721883
2.5,90,-166.5,2.69852074144129,-3.36235966355493
2.5,90,-166.4,2.4688504303262,-3.53401640133278
2.5,90,-166.3,2.22855989360093,-3.68992976926483
2.5,90,-166.2,1.97873203761577,-3.82946896845094
2.5,90,-166.1,1.72048471591143,-3.95207778303424
2.5,90,-166,1.4549656037971,-4.05727625080909
2.5,90,-165.9,1.18334702377137,-4.1446619849194
2.5,90,-165.8,0.906820745017216,-4.21391114936242
2.5,90,-165.7,0.626592779432534,-4.26477909248399
2.5,90,-165.6,0.343878195804606,-4.29710064401217
2.5,90,-165.5,0.0598959728130319,-4.31079008242385
2.5,90,-165.4,-0.224136089431402,-4.30584078057126
2.5,90,-165.3,-0.507006380629062,-4.282324538513
2.5,90,-165.2,-0.787514396684627,-4.24039061339679
2.5,90,-165.1,-1.06447554469352,-4.18026445703273
2.5,90,-165,-1.33672582104452,-4.10224617247868
2.5,90,-164.9,-1.60312634823943,-4.00670870153896
2.5,90,-164.8,-1.86256775709536,-3.8940957555592
2.5,90,-164.7,-2.11397440204151,-3.76491950229012
2.5,90,-164.6,-2.35630839823763,-3.61975802189942
2.5,90,-164.5,-2.58857347022498,-3.45925254543987
2.5,90,-164.4,-2.80981860276128,-3.28410448924363
2.5,90,-164.3,-3.01914148539168,-3.09507229881366
2.5,90,-164.2,-3.2156917431587,-2.89296811583362
2.5,90,-164.1,-3.39867394665826,-2.67865428192508
2.5,90,-164,-3.56735039540457,-2.45303969275373
2.5,90,-163.9,-3.72104366917203,-2.21707601603419
2.5,90,-163.8,-3.85913894264366,-1.97175378691101
2.5,90,-163.7,-3.98108605931076,-1.71809839411093
2.5,90,-163.6,-4.08640136114282,-1.45716597017571
2.5,90,-163.5,-4.17466927108669,-1.19003919899518
2.5,90,-163.4,-4.24554362595749,-0.917823053786569
2.5,90,-163.3,-4.29874875776624,-0.64164047859029
2.5,90,-163.2,-4.33408032198603,-0.362628026301287
2.5,90,-163.1,-4.35140587170351,-0.0819314662138589
2.5,90,-163,-4.35066517703774,0.199298625965257
2.5,90,-162.9,-4.33187028964172,0.479911282682971
2.5,90,-162.8,-4.29510535253913,0.758759550723279
2.5,90,-162.7,-4.2405261559961,1.03470487601479
2.5,90,-162.6,-4.16835944059048,1.30662145403174
2.5,90,-162.5,-4.07890194912454,1.57340053270501
2.5,90,-162.4,-3.97251922953684,1.83395465470307
2.5,90,-162.3,-3.84964419150718,2.08722182588788
2.5,90,-162.2,-3.71077542002051,2.33216959669713
2.5,90,-162.1,-3.55647524976322,2.56779904316228
2.5,90,-162,-3.38736760486914,2.79314863424904
2.5,90,-161.9,-3.20413560921548,3.00729797220363
2.5,90,-161.8,-3.00751897318892,3.20937139262031
2.5,90,-161.7,-2.79831116359855,3.39854141101179
2.5,90,-161.6,-2.57735636420471,3.57403200277619
2.5,90,-161.5,-2.34554623515403,3.73512170361827
2.5,90,-161.4,-2.10381648046332,3.88114651770214
2.5,90,-161.3,-1.85314323356628,4.01150262109876
2.5,90,-161.2,-1.59453927182734,4.12564884844476
2.5,90,-161.1,-1.32905007182756,4.22310895115728
2.5,90,-161,-1.05774971812853,4.30347361605699
2.5,90,-160.9,-0.781736679121121,4.36640223383885
2.5,90,-160.8,-0.50212946444772,4.41162440750389
2.5,90,-160.7,-0.220062179350501,4.43894119162376
2.5,90,-160.6,0.0633200078714014,4.44822605415522
2.5,90,-160.5,0.346865468323867,4.43942555345283
2.5,90,-160.4,0.629420767187031,4.41255972414443
2.5,90,-160.3,0.909835352201011,4.3677221666312
2.5,90,-160.2,1.18696625696866,4.30507983615043
2.5,90,-160.1,1.45968279954352,4.22487252858816
2.5,90,-160,1.72687125632926,4.12741206154578
2.5,90,-159.9,1.98743949096649,4.01308115054234
2.5,90,-159.8,2.2403215176397,3.88233198166471
2.5,90,-159.7,2.48448197810109,3.73568448345252
2.5,90,-159.6,2.71892051168792,3.57372430231489
2.5,90,-159.5,2.94267599771448,3.39710048730895
2.5,90,-159.4,3.15483064984288,3.20652289165988
2.5,90,-159.3,3.35451394239593,3.00275929995097
2.5,90,-159.2,3.54090634905793,2.78663229145403
2.5,90,-159.1,3.71324287502633,2.55901585159095
2.5,90,-159,3.87081636442514,2.32083174500028
2.5,90,-158.9,4.01298056566267,2.07304566512858
2.5,90,-158.8,4.13915293842167,1.8166631766425
2.5,90,-158.7,4.24881718708966,1.5527254682745
2.5,90,-158.6,4.34152550667749,1.28230493494457
2.5,90,-158.5,4.41690052862385,1.00650060913814
2.5,90,-158.4,4.47463695533348,0.726433462557456
2.5,90,-158.3,4.51450287384333,0.443241599984605
2.5,90,-158.2,4.53634074063899,0.15807536809503
2.5,90,-158.1,4.54006803134686,-0.127907597367905
2.5,90,-158,4.52567755079205,-0.413547362117042
2.5,90,-157.9,4.4932374007268,-0.697686697209282
2.5,90,-157.8,4.44289060438691,-0.979176071725305
2.5,90,-157.7,4.37485438891005,-1.25687860957686
2.5,90,-157.6,4.28941912853788,-1.52967498584244
2.5,90,-157.5,4.18694695340836,-1.79646823825356
2.5,90,-157.4,4.06787003061354,-2.05618846982719
2.5,90,-157.3,3.93268852603559,-2.30779741917179
2.5,90,-157.2,3.78196825726805,-2.55029287567373
2.5,90,-157.1,3.61633804966625,-2.78271291759937
2.5,90,-157,3.43648680923626,-3.00413995211915
2.5,90,-156.9,3.24316032765715,-3.21370453736382
2.5,90,-156.8,3.03715783621897,-3.41058896785912
2.5,90,-156.7,2.81932832684367,-3.59403060603664
2.5,90,-156.6,2.59056665962457,-3.76332494398222
2.5,90,-156.5,2.35180947746184,-3.91782838114624
2.5,90,-156.4,2.1040309493843,-4.05696070538812
2.5,90,-156.3,1.84823836501495,-4.1802072664555
2.5,90,-156.2,1.58546760336384,-4.28712083278613
2.5,90,-156.1,1.31677849970376,-4.37732312435999
2.5,90,-156,1.04325013470235,-4.4505060162049
2.5,90,-155.9,0.765976070247207,-4.50643240905722
2.5,90,-155.8,0.486059556504022,-4.54493676558632
2.5,90,-155.7,0.2046087346941,-4.565925312495
2.5,90,-155.6,-0.0772681401301287,-4.56937591069138
2.5,90,-155.5,-0.358467432396731,-4.55533759758043
2.5,90,-155.4,-0.637894792006994,-4.52392980733065
2.5,90,-155.3,-0.9144697302597,-4.47534127672083
2.5,90,-155.2,-1.18713008374845,-4.40982864585231
2.5,90,-155.1,-1.4548363451957,-4.32771476461143
2.5,90,-155,-1.71657584123255,-4.22938671727482
2.5,90,-154.9,-1.97136673828777,-4.11529357905746
2.5,90,-154.8,-2.21826185901094,-3.98594391970058
2.5,90,-154.7,-2.45635229300518,-3.84190307037643
2.5,90,-154.6,-2.68477078707682,-3.68379017124334
2.5,90,-154.5,-2.90269490171218,-3.5122750179096
2.5,90,-154.4,-3.10934992204798,-3.32807472585857
2.5,90,-154.3,-3.30401151320682,-3.13195023254106
2.5,90,-154.2,-3.48600811150395,-2.92470265735719
2.5,90,-154.1,-3.65472304468619,-2.7071695401252
2.5,90,-154,-3.80959637602748,-2.4802209788693
2.5,90,-153.9,-3.95012646876143,-2.2447556878558
2.5,90,-153.8,-4.07587126897351,-2.00169699676599
2.5,90,-153.7,-4.18644930668666,-1.75198881172143
2.5,90,-153.6,-4.28154041644696,-1.49659155857694
2.5,90,-153.5,-4.36088618023947,-1.23647812846991
2.5,90,-153.4,-4.42429009702552,-0.972629845077524
2.5,90,-153.3,-4.47161748458837,-0.706032472379226
2.5,90,-153.2,-4.50279512068949,-0.437672280971782
2.5,90,-153.1,-4.51781063176974,-0.168532190138608
2.5,90,-153,-4.51671163857028,0.100411998055891
2.5,90,-152.9,-4.49960466909077,0.3681952573786
2.5,90,-152.8,-4.46665385024454,0.633866874549859
2.5,90,-152.7,-4.41807939040587,0.896493851802279
2.5,90,-152.6,-4.35415586577274,1.15516416297183
2.5,90,-152.5,-4.2752103240859,1.40898985242191
2.5,90,-152.4,-4.18162021975251,1.65710996732715
2.5,90,-152.3,-4.0738111948187,1.89869331508682
2.5,90,-152.2,-3.95225472052291,2.13294103888354
2.5,90,-152.1,-3.81746561434096,2.35908900564268
2.5,90,-152,-3.66999944750872,2.57641000187478
2.5,90,-151.9,-3.51044985798274,2.78421573408353
2.5,90,-151.8,-3.33944578367571,2.98185863159341
2.5,90,-151.7,-3.15764863058957,3.16873345078092
2.5,90,-151.6,-2.96574939016955,3.34427868077605
2.5,90,-151.5,-2.7644657198212,3.5079777517328
2.5,90,-151.4,-2.55453900008091,3.65936004773683
2.5,90,-151.3,-2.33673138141108,3.79800172732707
