"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.54333293118636,3.64634051783071
2.5,90,-179.9,-1.56762397657955,3.63579201813445
2.5,90,-179.8,-1.59192103329064,3.62509221245078
2.5,90,-179.7,-1.61622327975677,3.61423845557893
2.5,90,-179.6,-1.64052958376907,3.60322793254992
2.5,90,-179.5,-1.66483850223066,3.59205768108965
2.5,90,-179.4,-1.68914828440153,3.58072461595784
2.5,90,-179.3,-1.71345687856773,3.56922555488913
2.5,90,-179.2,-1.73776194202867,3.5575572458447
2.5,90,-179.1,-1.76206085425487,3.54571639526827
2.5,90,-179,-1.78635073302842,3.53369969702984
2.5,90,-178.9,-1.810628453342,3.52150386173368
2.5,90,-178.8,-1.83489066879778,3.50912564606408
2.5,90,-178.7,-1.85913383521805,3.49656188184387
2.5,90,-178.6,-1.88335423615224,3.48380950448533
2.5,90,-178.5,-1.90754800994393,3.47086558052218
2.5,90,-178.4,-1.93171117800283,3.45772733392401
2.5,90,-178.3,-1.9558396739151,3.44439217091003
2.5,90,-178.2,-1.97992937301657,3.43085770299904
2.5,90,-178.1,-2.00397612205121,3.41712176805448
2.5,90,-178,-2.02797576853906,3.40318244910841
2.5,90,-177.9,-2.05192418948479,3.38903809077623
2.5,90,-177.8,-2.07581731907028,3.37468731310313
2.5,90,-177.7,-2.09965117499067,3.36012902271466
2.5,90,-177.6,-2.12342188311476,3.34536242117623
2.5,90,-177.5,-2.14712570017519,3.33038701049993
2.5,90,-177.4,-2.17075903422291,3.31520259577061
2.5,90,-177.3,-2.19431846261234,3.29980928489748
2.5,90,-177.2,-2.21780074731875,3.28420748553031
2.5,90,-177.1,-2.2412028474267,3.26839789921284
2.5,90,-177,-2.26452192866792,3.25238151287683
2.5,90,-176.9,-2.28775536992728,3.23615958781056
2.5,90,-176.8,-2.31090076667763,3.21973364626354
2.5,90,-176.7,-2.33395593134555,3.20310545587477
2.5,90,-176.6,-2.35691889065186,3.18627701213573
2.5,90,-176.5,-2.37978788001148,3.16925051911892
2.5,90,-176.4,-2.40256133511631,3.15202836872094
2.5,90,-176.3,-2.4252378808624,3.13461311868301
2.5,90,-176.2,-2.44781631781757,3.11700746966249
2.5,90,-176.1,-2.47029560645809,3.09921424163679
2.5,90,-176,-2.49267484943177,3.08123634992444
2.5,90,-175.9,-2.51495327213008,3.06307678110885
2.5,90,-175.8,-2.53713020187359,3.04473856914682
2.5,90,-175.7,-2.55920504603189,3.02622477193727
2.5,90,-175.6,-2.58117726941213,3.00753844861598
2.5,90,-175.5,-2.60304637125841,2.98868263782861
2.5,90,-175.4,-2.62481186220761,2.96966033721869
2.5,90,-175.3,-2.64647324154658,2.95047448434807
2.5,90,-175.2,-2.6680299751091,2.93112793924621
2.5,90,-175.1,-2.68948147414136,2.91162346876127
2.5,90,-175,-2.71082707544944,2.89196373286058
2.5,90,-174.9,-2.73206602312359,2.87215127300098
2.5,90,-174.8,-2.75319745211116,2.85218850266189
2.5,90,-174.7,-2.7742203738838,2.83207770010458
2.5,90,-174.6,-2.7951336644144,2.81182100339203
2.5,90,-174.5,-2.81593605464748,2.79142040767433
2.5,90,-174.4,-2.83662612361124,2.77087776471515
2.5,90,-174.3,-2.85720229428305,2.75019478460661
2.5,90,-174.2,-2.87766283228197,2.72937303959197
2.5,90,-174.1,-2.89800584742281,2.70841396988979
2.5,90,-174,-2.91822929812677,2.68731889138799
2.5,90,-173.9,-2.93833099864438,2.66608900505444
2.5,90,-173.8,-2.95830862900809,2.64472540788931
2.5,90,-173.7,-2.97815974759396,2.62322910522727
2.5,90,-173.6,-2.99788180613661,2.60160102418157
2.5,90,-173.5,-3.01747216700759,2.57984202800979
2.5,90,-173.4,-3.03692812253638,2.55795293117129
2.5,90,-173.3,-3.056246916125,2.53593451483985
2.5,90,-173.2,-3.07542576488269,2.51378754263109
2.5,90,-173.1,-3.0944618834855,2.49151277630438
2.5,90,-173,-3.11335250894869,2.46911099120095
2.5,90,-172.9,-3.13209492598679,2.44658299118589
2.5,90,-172.8,-3.1506864926267,2.42392962287023
2.5,90,-172.7,-3.16912466573547,2.40115178890042
2.5,90,-172.6,-3.18740702612365,2.3782504601167
2.5,90,-172.5,-3.20553130288987,2.35522668639783
2.5,90,-172.4,-3.22349539668041,2.33208160602874
2.5,90,-172.3,-3.24129740155092,2.30881645344762
2.5,90,-172.2,-3.25893562513384,2.28543256525129
2.5,90,-172.1,-3.27640860683572,2.26193138436146
2.5,90,-172,-3.29371513381314,2.23831446227861
2.5,90,-171.9,-3.31085425450248,2.21458345937628
2.5,90,-171.8,-3.32782528950972,2.19074014321364
2.5,90,-171.7,-3.34462783969809,2.16678638487079
2.5,90,-171.6,-3.36126179134667,2.1427241533366
2.5,90,-171.5,-3.37772731828843,2.11855550800426
2.5,90,-171.4,-3.39402488097345,2.09428258935425
2.5,90,-171.3,-3.41015522244087,2.06990760792748
2.5,90,-171.2,-3.42611936122066,2.04543283171353
2.5,90,-171.1,-3.4419185812236,2.02086057209892
2.5,90,-171,-3.45755441871465,1.99619316853903
2.5,90,-170.9,-3.47302864649972,1.97143297213327
2.5,90,-170.8,-3.48834325548941,1.94658232829727
2.5,90,-170.7,-3.50350043383471,1.92164355873755
2.5,90,-170.6,-3.51850254385781,1.89661894294291
2.5,90,-170.5,-3.53335209702768,1.87151069941339
2.5,90,-170.4,-3.54805172725192,1.84632096685137
2.5,90,-170.3,-3.5626041627759,1.82105178554023
2.5,90,-170.2,-3.57701219699557,1.79570507913444
2.5,90,-170.1,-3.59127865850148,1.77028263708046
2.5,90,-170,-3.60540638067967,1.74478609788094
2.5,90,-169.9,-3.61939817119788,1.71921693340533
2.5,90,-169.8,-3.63325678170563,1.69357643443805
2.5,90,-169.7,-3.6469848780715,1.66786569764142
2.5,90,-169.6,-3.66058501147281,1.64208561409485
2.5,90,-169.5,-3.67405959064041,1.61623685955338
2.5,90,-169.4,-3.68741085554517,1.59031988655009
2.5,90,-169.3,-3.70064085279379,1.5643349184453
2.5,90,-169.2,-3.71375141297871,1.53828194550466
2.5,90,-169.1,-3.72674413020176,1.51216072306468
2.5,90,-169,-3.73962034396389,1.48597077182191
2.5,90,-168.9,-3.75238112358279,1.45971138025809
2.5,90,-168.8,-3.7650272552694,1.43338160919033
2.5,90,-168.7,-3.77755923196133,1.40698029841244
2.5,90,-168.6,-3.78997724597748,1.38050607537062
2.5,90,-168.5,-3.80228118452446,1.35395736579535
2.5,90,-168.4,-3.81447062805103,1.32733240619018
2.5,90,-168.3,-3.82654485141371,1.30062925805925
2.5,90,-168.2,-3.83850282778364,1.27384582373664
2.5,90,-168.1,-3.85034323519348,1.24697986366525
2.5,90,-168,-3.86206446559363,1.22002901495752
2.5,90,-167.9,-3.87366463625896,1.19299081105891
2.5,90,-167.8,-3.88514160336211,1.16586270232367
2.5,90,-167.7,-3.8964929775066,1.13864207730493
2.5,90,-167.6,-3.90771614099317,1.11132628455527
2.5,90,-167.5,-3.91880826657604,1.08391265472985
2.5,90,-167.4,-3.9297663374523,1.0563985227836
2.5,90,-167.3,-3.94058716821785,1.02878125005438
2.5,90,-167.2,-3.95126742651658,1.00105824602797
2.5,90,-167.1,-3.96180365510676,0.973226989585682
2.5,90,-167,-3.97219229406932,0.945285049543321
2.5,90,-166.9,-3.98242970288646,0.917230104299902
2.5,90,-166.8,-3.9925121821272,0.889059960425751
2.5,90,-166.7,-4.00243599448688,0.860772570032926
2.5,90,-166.6,-4.01219738494156,0.832366046785609
2.5,90,-166.5,-4.0217925997955,0.803838680424067
2.5,90,-166.4,-4.03121790441874,0.775188949693083
2.5,90,-166.3,-4.04046959949422,0.746415533583722
2.5,90,-166.2,-4.04954403561715,0.717517320816286
2.5,90,-166.1,-4.0584376261152,0.688493417511507
2.5,90,-166,-4.0671468579849,0.659343153016655
2.5,90,-165.9,-4.07566830086749,0.630066083872944
2.5,90,-165.8,-4.08399861401574,0.600661995930018
2.5,90,-165.7,-4.09213455123245,0.571130904632339
2.5,90,-165.6,-4.10007296378924,0.541473053520955
2.5,90,-165.5,-4.10781080136299,0.511688911011505
2.5,90,-165.4,-4.11534511105387,0.481779165526454
2.5,90,-165.3,-4.12267303457529,0.451744719074725
2.5,90,-165.2,-4.12979180373018,0.42158667938641
2.5,90,-165.1,-4.13669873431081,0.391306350722986
2.5,90,-165,-4.14339121857967,0.360905223494758
2.5,90,-164.9,-4.14986671650692,0.330384962826852
2.5,90,-164.8,-4.15612274595565,0.299747396223107
2.5,90,-164.7,-4.16215687201847,0.268994500483076
2.5,90,-164.6,-4.16796669571917,0.238128388031956
2.5,90,-164.5,-4.17354984229984,0.207151292825397
2.5,90,-164.4,-4.17890394931733,0.176065555992069
2.5,90,-164.3,-4.18402665477402,0.144873611375414
2.5,90,-164.2,-4.18891558550514,0.113577971133318
2.5,90,-164.1,-4.1935683460394,0.0821812115496502
2.5,90,-164,-4.19798250814175,0.050685959205406
2.5,90,-163.9,-4.2021556012354,0.019094877649621
2.5,90,-163.8,-4.20608510388701,-0.0125893452991172
2.5,90,-163.7,-4.2097684365225,-0.0443640094999984
2.5,90,-163.6,-4.21320295552275,-0.0762264135769722
2.5,90,-163.5,-4.21638594882812,-0.108173865049141
2.5,90,-163.4,-4.21931463315902,-0.140203689420794
2.5,90,-163.3,-4.22198615293618,-0.172313238162103
2.5,90,-163.2,-4.22439758096036,-0.204499895525341
2.5,90,-163.1,-4.2265459208859,-0.236761084156346
2.5,90,-163,-4.22842811149749,-0.269094269475981
2.5,90,-162.9,-4.23004103277365,-0.30149696282082
2.5,90,-162.8,-4.23138151369567,-0.333966723347322
2.5,90,-162.7,-4.23244634173589,-0.366501158717601
2.5,90,-162.6,-4.23323227393569,-0.399097924599074
2.5,90,-162.5,-4.23373604946099,-0.431754723023205
2.5,90,-162.4,-4.23395440350225,-0.464469299660708
2.5,90,-162.3,-4.23388408236654,-0.497239440082379
2.5,90,-162.2,-4.23352185959223,-0.530062965084936
2.5,90,-162.1,-4.23286455290161,-0.562937725170479
2.5,90,-162,-4.23190904179436,-0.595861594276593
2.5,90,-161.9,-4.23065228557433,-0.628832462860567
2.5,90,-161.8,-4.22909134159493,-0.661848230447201
2.5,90,-161.7,-4.22722338350344,-0.69490679775353
2.5,90,-161.6,-4.22504571926279,-0.728006058506843
2.5,90,-161.5,-4.22255580872981,-0.761143891073807
2.5,90,-161.4,-4.219751280573,-0.794318150018618
2.5,90,-161.3,-4.21662994831875,-0.827526657706863
2.5,90,-161.2,-4.213189825324,-0.860767196069398
2.5,90,-161.1,-4.20942913848478,-0.894037498636607
2.5,90,-161,-4.20534634050368,-0.927335242948798
2.5,90,-160.9,-4.20094012055539,-0.960658043442094
2.5,90,-160.8,-4.19620941320719,-0.994003444902487
2.5,90,-160.7,-4.19115340547091,-1.02736891657265
2.5,90,-160.6,-4.1857715418841,-1.06075184698729
2.5,90,-160.5,-4.18006352754037,-1.0941495396036
2.5,90,-160.4,-4.17402932901227,-1.12755920928304
2.5,90,-160.3,-4.1676691731339,-1.16097797967042
2.5,90,-160.2,-4.16098354363485,-1.19440288150537
2.5,90,-160.1,-4.15397317564166,-1.2278308518901
2.5,90,-160,-4.14663904808676,-1.26125873452645
2.5,90,-159.9,-4.13898237408912,-1.2946832809238
2.5,90,-159.8,-4.13100458939317,-1.32810115256876
2.5,90,-159.7,-4.12270733897508,-1.36150892403652
2.5,90,-159.6,-4.11409246194531,-1.39490308701361
2.5,90,-159.5,-4.10516197489616,-1.42828005519194
2.5,90,-159.4,-4.0959180538597,-1.46163616998447
2.5,90,-159.3,-4.08636301505712,-1.4949677070044
2.5,90,-159.2,-4.0764992946337,-1.52827088324182
2.5,90,-159.1,-4.06632942758451,-1.56154186486439
2.5,90,-159,-4.05585602608451,-1.59477677556302
2.5,90,-158.9,-4.04508175744294,-1.62797170535702
2.5,90,-158.8,-4.03400932190545,-1.66112271977014
2.5,90,-158.7,-4.0226414305284,-1.69422586928439
2.5,90,-158.6,-4.01098078334849,-1.7272771989768
2.5,90,-158.5,-3.99903004806668,-1.7602727582425
2.5,90,-158.4,-3.98679183945917,-1.79320861050725
2.5,90,-158.3,-3.97426869971932,-1.82608084283298
2.5,90,-158.2,-3.96146307992342,-1.85888557532165
2.5,90,-158.1,-3.9483773228004,-1.89161897022488
2.5,90,-158,-3.93501364697002,-1.92427724067056
2.5,90,-157.9,-3.92137413279818,-1.95685665892142
2.5,90,-157.8,-3.90746070999901,-1.98935356408576
2.5,90,-157.7,-3.89327514709427,-2.0217643692064
2.5,90,-157.6,-3.87881904281993,-2.05408556765965
2.5,90,-157.5,-3.8640938195482,-2.08631373880396
2.5,90,-157.4,-3.84910071877148,-2.11844555282434
2.5,90,-157.3,-3.83384079867215,-2.15047777472738
2.5,90,-157.2,-3.81831493377988,-2.18240726744927
2.5,90,-157.1,-3.80252381669586,-2.214230994048
2.5,90,-157,-3.78646796184152,-2.2459460189596
2.5,90,-156.9,-3.77014771116829,-2.27754950830659
2.5,90,-156.8,-3.75356324174471,-2.30903872925599
2.5,90,-156.7,-3.73671457511825,-2.34041104843277
2.5,90,-156.6,-3.71960158833124,-2.37166392940273
2.5,90,-156.5,-3.70222402645431,-2.40279492924777
2.5,90,-156.4,-3.68458151648619,-2.43380169426368
2.5,90,-156.3,-3.6666735824559,-2.46468195481881
2.5,90,-156.2,-3.64849966155271,-2.49543351941876
2.5,90,-156.1,-3.63005912110062,-2.52605426802907
2.5,90,-156,-3.61135127618727,-2.55654214471399
2.5,90,-155.9,-3.59237540775313,-2.58689514965493
2.5,90,-155.8,-3.57313078094446,-2.61711133061723
2.5,90,-155.7,-3.55361666353336,-2.64718877393814
2.5,90,-155.6,-3.53383234421084,-2.67712559511239
2.5,90,-155.5,-3.51377715056254,-2.70691992905501
2.5,90,-155.4,-3.49345046654365,-2.73656992012286
2.5,90,-155.3,-3.47285174927746,-2.76607371197817
2.5,90,-155.2,-3.45198054501221,-2.79542943737802
2.5,90,-155.1,-3.43083650408286,-2.824635207974
2.5,90,-155,-3.40941939473751,-2.85368910420546
2.5,90,-154.9,-3.38772911570314,-2.88258916536867
2.5,90,-154.8,-3.36576570738129,-2.91133337994246
2.5,90,-154.7,-3.34352936158099,-2.939919676248
2.5,90,-154.6,-3.3210204297143,-2.96834591351776
2.5,90,-154.5,-3.29823942939787,-2.99660987344475
2.5,90,-154.4,-3.27518704942279,-3.02470925227917
2.5,90,-154.3,-3.2518641530739,-3.05264165353469
2.5,90,-154.2,-3.22827177979825,-3.08040458136222
2.5,90,-154.1,-3.20441114524138,-3.10799543464268
2.5,90,-154,-3.18028363968773,-3.13541150184559
2.5,90,-153.9,-3.15589082495938,-3.16264995669345
2.5,90,-153.8,-3.1312344298434,-3.18970785466624
2.5,90,-153.7,-3.10631634413408,-3.21658213037386
2.5,90,-153.6,-3.08113861139056,-3.24326959581752
2.5,90,-153.5,-3.05570342052302,-3.2697669395553
2.5,90,-153.4,-3.03001309633311,-3.29607072677953
2.5,90,-153.3,-3.00407008914329,-3.32217740030808
2.5,90,-153.2,-2.97787696365886,-3.34808328248454
2.5,90,-153.1,-2.95143638721273,-3.37378457797621
2.5,90,-153,-2.92475111754803,-3.39927737745278
2.5,90,-152.9,-2.89782399029664,-3.42455766212228
2.5,90,-152.8,-2.87065790631275,-3.44962130909564
2.5,90,-152.7,-2.84325581902052,-3.4744640975454
2.5,90,-152.6,-2.81562072193181,-3.49908171561921
2.5,90,-152.5,-2.78775563648637,-3.52346976806416
2.5,90,-152.4,-2.75966360036089,-3.54762378451309
2.5,90,-152.3,-2.73134765638605,-3.57153922838069
2.5,90,-152.2,-2.70281084220158,-3.59521150631317
2.5,90,-152.1,-2.67405618076958,-3.61863597813225
2.5,90,-152,-2.64508667185437,-3.6418079672117
2.5,90,-151.9,-2.61590528456508,-3.66472277122205
2.5,90,-151.8,-2.58651495104334,-3.68737567317768
2.5,90,-151.7,-2.55691856136425,-3.70976195271882
2.5,90,-151.6,-2.52711895970398,-3.73187689756046
2.5,90,-151.5,-2.49711894181196,-3.75371581503936
2.5,90,-151.4,-2.46692125380989,-3.77527404369077
2.5,90,-151.3,-2.43652859232433,-3.79654696478666
2.5,90,-151.2,-2.40594360594363,-3.81753001376832
2.5,90,-151.1,-2.37516889797499,-3.83821869150745
2.5,90,-151,-2.344207030462,-3.85860857533176
2.5,90,-150.9,-2.31306052940904,-3.8786953297528
2.5,90,-150.8,-2.28173189114476,-3.89847471683693
2.5,90,-150.7,-2.25022358974448,-3.91794260616234
2.5,90,-150.6,-2.21853808541916,-3.93709498430892
2.5,90,-150.5,-2.186677833768,-3.95592796383088
2.5,90,-150.4,-2.1546452957822,-3.97443779166562
2.5,90,-150.3,-2.12244294847924,-3.99262085693683
2.5,90,-150.2,-2.09007329604003,-4.01047369811334
2.5,90,-150.1,-2.05753888131609,-4.0279930094903
2.5,90,-150,-2.02484229756986,-4.04517564696329
2.5,90,-149.9,-1.99198620030884,-4.06201863307087
2.5,90,-149.8,-1.95897331907351,-4.07851916128591
2.5,90,-149.7,-1.92580646903926,-4.09467459954084
2.5,90,-149.6,-1.89248856229524,-4.1104824929767
2.5,90,-149.5,-1.85902261866573,-4.12594056591122
2.5,90,-149.4,-1.82541177594579,-4.14104672302542
2.5,90,-149.3,-1.79165929942793,-4.15579904977369
2.5,90,-149.2,-1.75776859060517,-4.17019581202676
2.5,90,-149.1,-1.72374319494403,-4.18423545496152
2.5,90,-149,-1.68958680863079,-4.19791660121666
2.5,90,-148.9,-1.65530328420551,-4.2112380483369
2.5,90,-148.8,-1.62089663500911,-4.22419876553334
2.5,90,-148.7,-1.5863710383821,-4.23679788979096
2.5,90,-148.6,-1.55173083756534,-4.24903472135843
2.5,90,-148.5,-1.51698054226718,-4.26090871865883
2.5,90,-148.4,-1.48212482787472,-4.27241949266298
2.5,90,-148.3,-1.44716853330047,-4.28356680077019
2.5,90,-148.2,-1.41211665746953,-4.2943505402439
2.5,90,-148.1,-1.37697435446613,-4.30477074125199
2.5,90,-148,-1.34174692737135,-4.3148275595635
2.5,90,-147.9,-1.30643982083702,-4.32452126895522
2.5,90,-147.8,-1.27105861245318,-4.33385225338309
2.5,90,-147.7,-1.23560900297793,-4.34282099897388
2.5,90,-147.6,-1.20009680550995,-4.35142808589374
2.5,90,-147.5,-1.16452793369349,-4.35967418015007
2.5,90,-147.4,-1.12890838905535,-4.3675600253832
2.5,90,-147.3,-1.09324424758117,-4.37508643470379
2.5,90,-147.2,-1.05754164564531,-4.38225428263109
2.5,90,-147.1,-1.02180676541481,-4.38906449718593
2.5,90,-147,-0.98604581985199,-4.39551805219077
2.5,90,-146.9,-0.950265037444195,-4.40161595982727
2.5,90,-146.8,-0.914470646791019,-4.40735926349954
2.5,90,-146.7,-0.878668861180094,-4.41274903104894
2.5,90,-146.6,-0.842865863282442,-4.41778634836313
2.5,90,-146.5,-0.807067790096269,-4.42247231341936
2.5,90,-146.4,-0.771280718265657,-4.4268080307984
2.5,90,-146.3,-0.73551064989608,-4.43079460670196
2.5,90,-146.2,-0.699763498983731,-4.43443314450293
2.5,90,-146.1,-0.664045078569307,-4.43772474085342
2.5,90,-146,-0.62836108871945,-4.4406704823717
2.5,90,-145.9,-0.592717105431095,-4.443271442925
2.5,90,-145.8,-0.557118570544767,-4.44552868152043
2.5,90,-145.7,-0.521570782743108,-4.44744324081225
2.5,90,-145.6,-0.486078889700636,-4.44901614622888
2.5,90,-145.5,-0.450647881439586,-4.45024840571903
2.5,90,-145.4,-0.415282584935653,-4.45114101011127
2.5,90,-145.3,-0.379987660005471,-4.45169493407757
2.5,90,-145.2,-0.344767596496061,-4.45191113768652
2.5,90,-145.1,-0.309626712784442,-4.45179056852795
2.5,90,-145,-0.274569155583632,-4.45133416438657
2.5,90,-144.9,-0.239598901039768,-4.45054285643819
2.5,90,-144.8,-0.204719757093272,-4.44941757293847
2.5,90,-144.7,-0.169935367066032,-4.44795924337058
2.5,90,-144.6,-0.135249214425869,-4.44616880301478
2.5,90,-144.5,-0.100664628669193,-4.44404719790009
2.5,90,-144.4,-0.0661847922537495,-4.44159539009531
2.5,90,-144.3,-0.0318127485038309,-4.43881436329428
2.5,90,-144.2,0.00244858959686429,-4.43570512864827
2.5,90,-144.1,0.0365964298173847,-4.4322687307963
2.5,90,-144,0.0706280903952395,-4.42850625404324
2.5,90,-143.9,0.10454098915951,-4.42441882863398
2.5,90,-143.8,0.138332632169692,-4.42000763707161
2.5,90,-143.7,0.172000601981713,-4.41527392042713
2.5,90,-143.6,0.205542545654904,-4.41021898458812
2.5,90,-143.5,0.238956162614998,-4.40484420639444
2.5,90,-143.4,0.272239192488217,-4.39915103960972
2.5,90,-143.3,0.305389403020819,-4.39314102067855
2.5,90,-143.2,0.338404578196631,-4.38681577422085
2.5,90,-143.1,0.371282506662102,-4.38017701821677
2.5,90,-143,0.404020970564954,-4.37322656883766
2.5,90,-142.9,0.436617734907426,-4.36596634488122
2.5,90,-142.8,0.469070537510038,-4.35839837177177
2.5,90,-142.7,0.501377079675269,-4.35052478508964
2.5,90,-142.6,0.533535017633573,-4.34234783359715
2.5,90,-142.5,0.56554195484678,-4.33386988173231
2.5,90,-142.4,0.597395435235316,-4.32509341154491
2.5,90,-142.3,0.629092937387366,-4.31602102405421
2.5,90,-142.2,0.6606318697989,-4.30665544001099
2.5,90,-142.1,0.692009567184031,-4.29699950005168
2.5,90,-142,0.723223287885648,-4.28705616423598
2.5,90,-141.9,0.754270212406412,-4.27682851096455
2.5,90,-141.8,0.78514744307049,-4.26631973527723
2.5,90,-141.7,0.815852004816462,-4.2555331465372
2.5,90,-141.6,0.846380847112282,-4.24447216551071
